"SVAAS — MASTER EXECUTION ENGINE  |  All Tasks, All Phases, Day 1 to Day 730 #","Dept","Category","Task","Sub-Task / Exact Action","Notes & Dependencies","Priority","Phase","Days","Cost Low","Cost Likely","Cost High","Owner"
"175","FOUNDER","Reviews","Quarterly strategic review (half day)","Every 3 months: review business against milestone map. Assess: product market fit, channel performance, team needs, upcoming compliance renewals, product roadmap progress.","Quarterly review prevents drift. Forces honest assessment of what is working and what is not.","HIGH","ONGOING","Quarterly","-","-","-","Founder"
"176","COMPLIANCE","Regulatory","Monthly compliance check","Check: (a) Licence current? (b) BMRs filed for all batches? (c) Any complaints flagged to regulatory? (d) Label changes needed? (e) Test reports up to date?","15 minutes per month. Non-compliance compounds silently.","HIGH","ONGOING","Monthly","-","-","-","QP + Founder"
"177","SUPPLY CHAIN","Vendors","Quarterly vendor review","For each vendor: quality score, delivery reliability, price vs market, any issues. Decide: retain / renegotiate / replace.","Vendor quality drifts if not reviewed. A bad batch of a key ingredient ruins production.","MEDIUM","ONGOING","Quarterly","-","-","-","Operations"
"","FINANCE","Setup","Open business savings account","Open a separate savings account linked to current account for: tax provisions, working capital reserve. Transfer 15% of each payment received into savings for GST liability and contingency.","Separating tax money prevents the common mistake of spending GST collected before filing date.","HIGH","P0","Day 22-30","-","-","-","Founder"
"","FINANCE","Setup","Create chart of accounts in Zoho Books","Set up accounts: Revenue (D2C / Retail / Corporate / Salon), COGS (Ingredients / Packaging / Labour / Overhead), OpEx (Rent / Marketing / Compliance / Logistics / People / Misc), Liabilities (GST payable, loan if any).","Good chart of accounts from Day 1 prevents painful restructuring later.","HIGH","P1","Day 22-35","-","-","-","Finance + CA"
"","FINANCE","Planning","Build 18-month rolling P&L model","Build in Zoho Books or Google Sheets: monthly revenue forecast by channel, COGS by product, all operating expenses. Update actuals vs forecast monthly. Share with CA quarterly.","Model must be updated monthly. A static plan is worthless. A living model is your financial compass.","CRITICAL","P1","Day 30-42","-","-","-","Finance + Founder"
"","FINANCE","Planning","Build 13-week cash flow forecast","Week-by-week: opening cash, receipts expected (D2C orders, retail payment, corporate), payments due (ingredients, packaging, rent, CA, marketing, GST). Minimum cash floor: Rs.50,000 always.","13-week rolling cash flow is the single most important financial tool for a small business. Update every Monday.","CRITICAL","P1","Day 30-42","-","-","-","Finance + Founder"
"","FINANCE","Unit Economics","Calculate contribution margin per unit per channel","For each SKU and each channel: MRP minus payment gateway fee minus shipping minus COGS = contribution per unit. D2C target: above Rs.380/unit. Retail target: above Rs.200/unit. Corporate target: above Rs.250/unit.","Know your contribution before spending on CAC. Never acquire a customer at a cost that exceeds contribution.","CRITICAL","P2","Day 35-49","-","-","-","Finance + Founder"
"","FINANCE","Unit Economics","Set up unit economics tracker — update monthly","One row per SKU per channel. Columns: units sold, revenue, COGS, gross profit, channel costs, contribution, CAC, LTV, LTV:CAC ratio. Review monthly — if any cell turns red, investigate immediately.","LTV:CAC below 2:1 means you are losing money acquiring customers. Catch it early.","HIGH","P5","Day 150 onwards","-","-","-","Finance"
"","FINANCE","Working Capital","Define and document working capital cycle","Map: cash paid for ingredients (Day 0) -> manufactured (Day 7-10) -> sitting as FG (Day 10-50) -> sold (Day 50) -> cash received D2C same day, retail 30-45 days. Working capital locked: 50-60 days for retail channel.","Retail credit terms create working capital strain. Model this before agreeing to any retail terms.","HIGH","P2","Day 42-56","-","-","-","Finance + Founder"
"","FINANCE","Working Capital","Negotiate cash-on-delivery or 15-day terms with retail chain for first 3 months","First retail orders: request payment within 15 days of delivery. Do not give 45-day credit to a new retail partner before trust is established.","Power dynamic: small brand needs cash more than a large retailer does. Negotiate firmly but respectfully.","HIGH","P6","Day 180-210","-","-","-","Founder + Sales"
"","FINANCE","Tax","Set up GST input credit tracking","For every purchase invoice: record GST paid (input credit). Reconcile monthly with GSTR-2B. Net GST payable = output tax minus input credit. Packaging, raw materials, equipment all have GST input.","Many small brands overpay GST by not tracking input credits. This is real money recovered.","HIGH","P1","Day 28-42","-","-","-","CA"
"","FINANCE","Tax","File GSTR-1 by 11th every month","All outward supplies (sales). Even if zero sales: file nil return. Late filing attracts penalty: Rs.50/day.","Set calendar reminder. Never miss.","CRITICAL","ONGOING","Monthly","-","-","-","CA"
"","FINANCE","Tax","File GSTR-3B by 20th every month","Monthly summary return + tax payment. Pay GST before filing. Net payment = output minus input credit.","Late filing penalty: Rs.50/day. Set payment reminder on 18th every month to ensure funds are ready.","CRITICAL","ONGOING","Monthly","-","Rs.500","Rs.2000","CA"
"","FINANCE","Tax","Annual GST reconciliation and audit prep","By March 31: reconcile all GSTR-1 vs GSTR-3B vs books. Prepare for GSTR-9 annual return. Resolve any mismatches with CA.","Annual reconciliation prevents audit notices.","HIGH","ONGOING","Annually","Rs.3000","Rs.5000","Rs.10000","CA"
"","FINANCE","Pricing","Conduct formal price point analysis before label print","Method: (1) Competitor price-per-ml table. (2) Target customer survey: show product, ask expected price (20 people). (3) Channel margin model at each price point (Rs.499 / Rs.599 / Rs.699 / Rs.799). (4) Break-even units at each price. Decision: lock MRP before any label print.","Price is the hardest thing to change post-launch. One analysis session saves months of regret.","CRITICAL","P2","Day 35-56","-","-","-","Founder + Finance"
"","FINANCE","Pricing","Review MRP every 6 months","If COGS has increased by more than 10%: review MRP. Compare to competitor pricing drift. Communicate price increase to retail partners 30 days in advance.","Build pricing review into the calendar. Do not absorb all cost increases silently.","MEDIUM","ONGOING","6-monthly","-","-","-","Founder + Finance"
"","FINANCE","Fundraising","Evaluate MSME Mudra loan for working capital","Pradhan Mantri Mudra Yojana: Kishore category (Rs.50,000 to Rs.5 lakh) or Tarun (Rs.5 lakh to Rs.10 lakh). Available through nationalized banks. Apply with: MSME certificate, LLP documents, 6-month bank statement, business plan summary.","Cost of Mudra loan: 8-12% interest. Much cheaper than credit card or personal loan. Apply only when you have 6 months of bank statements showing business activity.","MEDIUM","P7","Day 270-365","-","-","-","Founder + CA"
"","FINANCE","Reporting","Prepare monthly management report (2-page)","Page 1: Revenue, COGS, gross margin, key expense lines, net P&L vs budget. Page 2: Units by channel, customer count, NPS, top 3 wins, top 3 issues, next month priorities.","This 2-page report is your board meeting with yourself. Forces clarity.","HIGH","ONGOING","Monthly","-","-","-","Finance + Founder"
"","PEOPLE","Roles","Map all functions the founder is currently doing","List every function: manufacturing, packing, labelling, ordering ingredients, updating website, posting on Instagram, responding to WhatsApp, doing accounts, filing GST, managing vendors, visiting retail stores. This is the burnout map.","If the founder is doing more than 6 of these by Month 3, the business will stall. Identify the first function to delegate.","CRITICAL","P1","Day 14-21","-","-","-","Founder"
"","PEOPLE","Roles","Define first hire profile: packing and operations helper","Role: 2-3 days/week. Tasks: label application, carton assembly, ingredient weighing, cleaning, basic inventory count. Must have: attention to detail, comfortable with standing work, trustworthy with product. Pay: Rs.400-500/day.","Train to SOPs before first unsupervised session. Never assume a new person knows what you want.","HIGH","P6","Day 150-180","-","-","-","Founder"
"","PEOPLE","Hiring","Post operations helper job — WhatsApp community / local network","Post in: local WhatsApp groups, women's employment networks, Oodles staff referrals, neighbourhood networks. Interview: ask candidate to read and explain one SOP. This tests literacy and attention to detail.","Sourcing from known networks reduces risk. Reference check with previous employer is always worth 10 minutes.","HIGH","P6","Day 150-180","-","-","-","Founder"
"","PEOPLE","Hiring","Create operations helper onboarding checklist","Day 1: tour of space, introduction to all SOPs, demonstrate each packing step, supervised practice. Week 1: supervised only. Week 2: independent with spot checks. Week 3: fully independent for trained tasks.","Never throw a new hire into unsupervised work on Day 1. Quality failures in the first week are the employer's fault, not the employee's.","HIGH","P6","Day 150-180","-","-","-","Founder"
"","PEOPLE","Roles","Define second hire profile: marketing executive (Month 9-12)","Role: full-time. Tasks: Instagram content creation and scheduling, community management, influencer outreach coordination, monthly email newsletter, basic paid campaign management. Must have: active Instagram presence, understanding of D2C brands, interest in wellness/beauty.","Pay: Rs.18,000-28,000/month. Hire on 3-month probation. First 30 days: shadow founder on all marketing tasks.","MEDIUM","P7","Day 270-330","Rs.18000","Rs.22000","Rs.28000","Founder"
"","PEOPLE","Hiring","Write job description for marketing executive","JD components: brand description (2 paragraphs), role overview, key responsibilities (5-7 bullets), skills required, nice-to-have, what Svaas offers (flexible work, growth opportunity, brand mission). Post: LinkedIn, Instagram Stories, Internshala.","A well-written JD attracts the right person and repels the wrong one. Spend 1 hour on it.","MEDIUM","P7","Day 260-270","-","-","-","Founder"
"","PEOPLE","Roles","Define third hire profile: operations manager (Month 18-24)","Role: full-time. Owns: batch scheduling, vendor management, QC oversight, shipping, customer complaint resolution. Must have: operations or supply chain experience, manufacturing background preferred. Pay: Rs.25,000-40,000/month.","This hire is what allows the founder to stop managing daily operations and focus on brand and growth.","MEDIUM","P8","Day 450-550","Rs.25000","Rs.32000","Rs.40000","Founder"
"","PEOPLE","Culture","Write Svaas people principles (1 page)","5 principles that govern how Svaas treats its team: (1) Pay on time, always. (2) Train before you expect. (3) Explain the why, not just the what. (4) Credit work publicly. (5) Mistakes are learning when reported honestly. Post on wall in manufacturing room.","Small team culture is set by behaviour, not documents. But writing it down makes it intentional.","MEDIUM","P2","Day 42-56","-","-","-","Founder"
"","PEOPLE","Compliance","Professional tax registration (Tamil Nadu)","Register as employer with TN Commercial Tax Department before hiring first employee. Deduct professional tax from salary. Rs.200/month for salaries above Rs.21,000/month.","Mandatory before payroll for any employee.","HIGH","P6","Day 150-160","Rs.500","Rs.1000","Rs.2000","CA"
"","PEOPLE","Compliance","Maintain attendance and payment records for all workers","Simple register: name, date, hours worked, amount paid, signature. Required for any labour inspection.","Even for part-time daily workers: keep a payment register.","HIGH","P6","Day 180 onwards","-","-","-","Operations"
"","FINANCE","Channel","Model retail channel economics at different price points","Build a table: at Rs.499 / Rs.599 / Rs.699 MRP — what is retailer buying price (35% margin), Svaas net revenue, minus GST 18%, minus COGS Rs.130, minus packaging Rs.35 = contribution. At which MRP is retail channel still viable?","Retail margin model determines minimum viable MRP. If contribution goes negative at Rs.499 retail: Rs.499 is too low.","CRITICAL","P2","Day 42-56","-","-","-","Finance + Founder"
"","FINANCE","Channel","Model corporate gifting economics","At Rs.599 single / Rs.999 duo / Rs.1,499 trio gift set: calculate COGS of set + gift packaging (Rs.65-80) + personalisation card. Calculate Svaas net revenue at each price. Corporate discount: typically 15-20% off MRP for orders of 25+ units.","Corporate gifting should achieve 55-65% gross margin even after discount. Model confirms pricing.","HIGH","P2","Day 42-56","-","-","-","Finance + Founder"
"","SALES","Retail","Create retail onboarding documentation pack","Documents: (1) Company profile 1-page. (2) GSTIN certificate. (3) Cosmetic licence copy. (4) Product catalogue with HSN codes and MRP. (5) Trade price list (MRP minus 35%). (6) Test reports summary. (7) Label compliance declaration. (8) Return and replenishment policy.","Retail buyers get pitched by 20 brands a week. A complete, professional documentation pack signals that you are serious.","CRITICAL","P4","Day 100-120","Rs.1000","Rs.2000","Rs.3000","Founder + Sales"
"","SALES","Retail","Prepare retail display solution for all stores","Counter-top display unit: acrylic or foam, holds 3 SKUs, header card with Svaas branding and key claim. One tester unit per SKU (sealed with 'TESTER' label). Order 15 units for 15-store chain. Cost: Rs.800-1,500 per unit.","Products without display units are invisible on shelf. Display is not optional for a new brand.","HIGH","P5","Day 120-150","Rs.12000","Rs.18000","Rs.22500","Sales + Oodles"
"","SALES","Retail","Train retail store staff on Svaas product","Create 1-page retail staff cheat sheet: what Svaaskriti is, who it is for, top 3 customer questions with answers, how to demonstrate (1 pump on hand). Visit each store in first month. Personal relationship with store manager drives sell-through.","The person behind the counter is your most valuable salesperson. Invest 30 minutes per store.","HIGH","P6","Day 180-210","-","-","-","Founder + Sales"
"","SALES","Retail","Set up monthly retail replenishment system","On 1st of each month: check stock levels at all active stores (call or visit). Reorder threshold: when shelf drops to 3 units per SKU. Send fresh stock within 3-5 working days. Invoice on delivery.","Retail brands get delisted when they are frequently out of stock. Be the most reliable supplier in their section.","HIGH","P6","Day 180 onwards","-","-","-","Sales + Operations"
"","SALES","Retail","Track sell-through rate per store monthly","Measure: units placed vs units sold in 30 days at each store. Target sell-through: above 60% per month. If below 40% for 2 consecutive months: review placement, pricing, or staff knowledge.","Sell-through is the true measure of retail success. Not units delivered — units bought by customers.","HIGH","P6","Day 180 onwards","-","-","-","Sales + Finance"
"","SALES","Retail","Review retail account quarterly","Every 3 months with retail buyer: review sell-through data, discuss any issues, propose next season plan, discuss whether additional SKUs make sense.","Relationship management is what keeps you on shelf when a competitor pitches.","HIGH","ONGOING","Quarterly","-","-","-","Founder + Sales"
"","SALES","Retail","Evaluate second retail chain at Day 270","After first chain is running smoothly: identify 2nd potential retail partner. Criteria: different geography or different customer profile from first chain. Do not spread too thin too early.","Second retail partnership only when first is operationally stable.","MEDIUM","P7","Day 270-300","-","-","-","Founder + Sales"
"","SALES","Corporate","Build corporate prospect database in Google Sheet","Fields: company name, industry, size, HR/Admin contact name, LinkedIn URL, email, phone, status, last contact date, opportunity (Diwali/Pongal/Women's Day/New Year), estimated order size.","Start with 25 prospects. Grow to 100 by Day 180. Quality of contact matters more than quantity.","HIGH","P4","Day 70-84","-","-","-","Founder + Sales"
"","SALES","Corporate","Send personalised outreach to 25 corporate prospects","Channel: LinkedIn DM + WhatsApp if contact known personally. Message: 2 sentences about Svaas, 1 sentence about gifting, link to gifting catalogue PDF, offer of Rs.99 sample set. Not a mass blast — each message personalised.","Personalisation converts 3-5x better than mass email for B2B gifting. Takes more time but worth it.","HIGH","P4","Day 77-90","Rs.2500","Rs.4000","Rs.7500","Founder"
"","SALES","Corporate","Convert first corporate gifting order","Target: first order of minimum 25 units by Day 120. Offer: free customised note card, delivery within 7 days, invoice with GST.","First corporate order is the proof case. Document it as a case study.","HIGH","P5","Day 90-120","-","-","-","Founder"
"","SALES","Corporate","Build corporate gifting case study after first order","After delivery: call the HR contact. Ask: how was the response from employees? Can you share a quote? Take a photo of the gift hamper. This becomes a testimonial for the next 25 prospects.","B2B buyers trust other B2B buyers. One case study is worth 10 sales pitches.","HIGH","P5","Day 120-140","-","-","-","Founder + Marketing"
"","SALES","Corporate","Create festival-specific gifting offers calendar","Diwali (Oct): book by Sept 15. Pongal (Jan): book by Dec 20. Women's Day (Mar 8): book by Feb 20. New Year (Jan 1): book by Dec 15. Raksha Bandhan (Aug): evaluate. Create reminder-based outreach 6 weeks before each festival.","Corporate gifting is calendar-driven. Miss the booking window and the budget is spent elsewhere.","HIGH","ONGOING","Calendar-based","-","-","-","Sales + Marketing"
"","SALES","Corporate","Offer custom branding option from Month 6","Option: company name printed on note card, or Svaas gift box with subtle company logo sticker. Minimum order: 50 units for customisation. Premium: Rs.25-50 per unit extra.","Custom branding converts larger orders. Many corporates have budget for this.","MEDIUM","P6","Day 180-210","Rs.2000","Rs.3000","Rs.5000","Operations + Sales"
"","SALES","Salon","Create salon pitch document (1-page)","Content: (1) What Svaaskriti is (2 sentences). (2) Why salons love it: adds a premium scalp treatment to their menu, Rs.300-600 per client, product cost only Rs.35-45 per treatment. (3) Testimonials from pilot salons. (4) How to order and pricing.","Salon owners think in profit per chair per hour. Show them the math clearly.","HIGH","P7","Day 240-270","Rs.1000","Rs.2000","Rs.3000","Sales + Oodles"
"","SALES","Salon","Develop salon-specific SKU: 200ml professional bottle","Same formula. 200ml amber PET with professional pump. Label: 'Svaas Svaaskriti — Professional Salon Use.' Wholesale price: Rs.450-500. Salon MRP equivalent: Rs.899-999.","Salon buyers want professional-looking product separate from retail. A 200ml bottle signals professional use.","MEDIUM","P7","Day 270-300","Rs.10000","Rs.16000","Rs.24000","Operations + Packaging"
"","SALES","Salon","Visit each pilot salon after 2-week trial","Personal visit. Questions: Did you use it? On which clients? What was their feedback? Would you add it to your treatment menu? What would make it more useful for you?","This conversation is worth more than any sales pitch. Listen, do not sell.","HIGH","P7","Day 280-300","-","-","-","Founder + Sales"
"","SALES","Salon","Formalise commercial terms with 3+ willing salons","After positive trial feedback: propose commercial arrangement. Wholesale price: Rs.450/200ml. Payment: 15 days after delivery. Replenishment: monthly or on-demand. No sale-or-return for salon channel (product is used, not resold).","Start with 3 salons. Nail the model before expanding to 10.","HIGH","P7","Day 300-330","-","-","-","Sales"
"","SALES","Salon","Create salon staff training card","One laminated card per salon: what Svaaskriti is, application technique for scalp massage, leave-on time (minimum 30 mins for treatment), wash-out, what to tell clients about the 61 ingredients. Give to every stylist.","Salon staff talk to 8-12 clients per day. A well-briefed stylist is a Rs.0 brand ambassador.","HIGH","P7","Day 270-280","Rs.2000","Rs.3500","Rs.5000","Oodles + Sales"
"","SALES","Salon","Offer salon testers for client waiting area","Small 10ml sample bottles labelled 'Try Svaaskriti.' Placed in waiting area or at shampoo station. Cost: Rs.15-20 per 10ml sample. Drives client curiosity and retail conversion.","Salon retail conversion is 3x higher when clients have touched and smelled the product before deciding.","MEDIUM","P7","Day 300-330","Rs.3000","Rs.5000","Rs.8000","Operations + Sales"
"","SALES","Hotels","Research target boutique hotel and resort partners","Identify: boutique hotels in Chennai, Pondicherry, Coorg, Kovalam, Mahabalipuram that have Ayurvedic or wellness positioning. Look for: spa menus that include hair treatments, in-room amenity programmes, gift shop retail.","20 target hotels is a good start list. Quality: hotels where guests are willing to pay for wellness.","MEDIUM","P7","Day 270-300","-","-","-","Founder + Sales"
"","SALES","Hotels","Create hotel partnership pitch document","2-page document: (1) Brand story and product overview. (2) Three partnership models: in-room amenity (50-100ml in bathroom), spa treatment product, gift shop retail. (3) Pricing per model. (4) Minimum quantities.","Hotels evaluate amenity brands on: scent, texture, packaging quality, brand story, exclusivity. Lead with these.","MEDIUM","P7","Day 290-310","Rs.2000","Rs.3000","Rs.5000","Sales + Oodles"
"","SALES","Hotels","Pilot: 1 boutique hotel, 30-room amenity trial","Start with 1 hotel, 30 rooms, 60-unit pilot (2 units per room). Negotiate: hotel mentions Svaas in room collateral. Svaas provides: branded card explaining product. Review after 30 days: guest feedback, refill order.","Hotel partnership validates premium positioning. 1 successful hotel pilot = credibility for next 10.","MEDIUM","P8","Day 330-400","Rs.6000","Rs.9000","Rs.15000","Sales"
"","MARKETING","Exhibition","Identify Chennai pop-up and market calendar for Year 1","Research: Chennai Farmers Market, Namma Chennai Market, WOW Chennai, Organic Markets, Women Entrepreneur fairs. Get dates, stall costs, audience profile, application process. Map to Svaas launch calendar.","Pop-up markets are ideal for pre-launch brand awareness and post-launch early customers. First event: Day 90-120 at earliest.","HIGH","P4","Day 70-90","-","-","-","Marketing"
"","MARKETING","Exhibition","Design exhibition display kit","Components: (1) Branded table cover or banner (Rs.1,500-3,000). (2) Product display risers. (3) Tester set with mini-bottles. (4) QR code standee linking to Shopify. (5) WhatsApp signup sheet or QR. (6) Business cards. (7) Gift packaging display.","First impression at a stall is visual. Invest in a clean, branded setup.","HIGH","P5","Day 90-120","Rs.4000","Rs.7000","Rs.12000","Oodles + Operations"
"","MARKETING","Exhibition","Create exhibition sales script","3-sentence opener: 'This is Svaaskriti — 61 natural ingredients, no chemicals, handmade in Chennai. It is food for your hair — complete nourishment, not a treatment. Would you like to smell it?' Then listen.","Practise the script. A founder who sounds rehearsed sounds confident, not salesy.","HIGH","P5","Day 84-90","-","-","-","Founder"
"","MARKETING","Exhibition","Set up lead collection system at exhibitions","Use: Google Form QR code at stall. Collect: name, phone, hair type, email. Offer: Rs.50 off first online order for signing up. Follow up within 48 hours with WhatsApp message.","Exhibition without lead collection = one-time interaction. Lead collection turns a conversation into a customer.","HIGH","P5","Day 90 onwards","-","-","-","Marketing"
"","MARKETING","Exhibition","Post-exhibition follow-up protocol","Within 24 hours: WhatsApp message to all leads: 'Great to meet you at [event]. Here is your Rs.50 discount code: [code].' Within 48 hours: Instagram follow request. Within 7 days: if no purchase, send 1 follow-up message.","Most exhibition leads go cold after 48 hours. Speed of follow-up determines conversion.","HIGH","ONGOING","Post each event","-","-","-","Marketing"
"","MARKETING","Exhibition","Track exhibition ROI","For each event: cost (stall + materials + product) vs revenue on day + revenue from leads within 30 days. If ROI is below 2x: evaluate whether to continue with that event type.","Not all exhibitions are equal. Track the data and invest only in events that convert.","MEDIUM","ONGOING","Post each event","-","-","-","Marketing + Finance"
"","MARKETING","Influencer","Build influencer evaluation scorecard","Score each potential influencer: (1) Follower count (weight: 10%). (2) Engagement rate — likes+comments/followers (weight: 40%). (3) Content quality and aesthetic match (weight: 30%). (4) Audience location — Chennai/metro focus (weight: 20%). Minimum score 70/100 to proceed.","Follower count is the least important metric. Engagement rate is the most important.","HIGH","P4","Day 63-77","-","-","-","Marketing"
"","MARKETING","Influencer","Send personalised gifting DM — not a template","Message structure: (1) Specific compliment about their content (not generic). (2) Why Svaas product feels right for their audience (specific). (3) Offer to send product with zero expectation — just want them to experience it. (4) If they love it, an honest post would mean the world.","Template DMs get ignored. Personalised DMs get responses. Takes 5 minutes extra per influencer.","HIGH","P4","Day 70-84","-","-","-","Marketing"
"","MARKETING","Influencer","Brief gifting package for influencers","Contents: product in full packaging, handwritten note from founder (personalised), 1-page 'story card' with Svaas brand story, ingredient card (top 5 ingredients), no required hashtags, no script — just ask for honest impressions.","The handwritten note from the founder is the most powerful element. It signals this is a real person, not a marketing team.","HIGH","P4","Day 70-84","Rs.6000","Rs.10000","Rs.16000","Marketing"
"","MARKETING","Influencer","Track influencer content and attribute orders","For each influencer post: note date, reach, engagement, discount code used (create unique code per influencer), orders attributed. Calculate: cost per order from each influencer relationship.","Unique discount codes per influencer track attribution perfectly. Use these to identify your top 3 performing influencer relationships.","HIGH","P5","Day 90 onwards","-","-","-","Marketing"
"","MARKETING","Influencer","Re-engage top 3 performing nano-influencers at Month 6","Send a second product (new SKU or seasonal gift set) to the 3 influencers who drove most orders. No paid arrangement required yet. Continue gifting relationship. Personal thank you note.","Repeat content from the same influencer is more powerful than first-time content — it signals genuine loyalty.","HIGH","P6","Day 180-210","Rs.3000","Rs.5000","Rs.9000","Marketing"
"","MARKETING","Influencer","Evaluate first paid influencer collaboration at Day 270","By Day 270: if brand is established and revenue is above Rs.1 lakh/month, evaluate 1 paid collaboration with a mid-tier influencer (50K-200K followers, wellness niche). Brief: authentic review, Food For Hair narrative, before/after welcome but not required.","Paid influencer rate: Rs.5,000-25,000 per post for this tier. Calculate expected ROI before committing.","MEDIUM","P7","Day 270-300","Rs.5000","Rs.12000","Rs.25000","Marketing"
"","MARKETING","Content","Build 12-month content calendar framework","Monthly themes: M1=Foundations (brand story), M2=Ingredients (61+ series begins), M3=Ritual (how to use), M4=Results (first testimonials), M5=Science (Ayurveda meets modern), M6=Community (UGC), M7=Gifting (corporate season), M8=Seasonal (post-monsoon hair care), M9=Deep dive (hero ingredients), M10=Customer love, M11=Festival gifting, M12=Year in review.","12 months of themes gives the content calendar direction without being rigid. Each month has a north star.","HIGH","P2","Day 42-56","-","-","-","Oodles + Founder"
"","MARKETING","Content","Create 57-ingredient content series (1 per week)","For each of the 57 documented ingredients: post a carousel with: English name + Tamil name + Sanskrit name, where it comes from, what it does for hair, why it is in Svaaskriti, how traditional use compares to modern evidence. 57 posts = 14 months of weekly content.","This series is uniquely Svaas. No competitor has 57 individually documented ingredients. It is both SEO content and brand differentiation.","HIGH","P5","Day 150 onwards","-","-","-","Oodles"
"","MARKETING","Content","Create Hair Ritual Education series (8 posts)","8-post carousel series: (1) Why oil your hair at all? (2) The difference between hair treatment and hair nourishment. (3) How to apply oil correctly (scalp focus). (4) How long to leave oil on. (5) How to wash out properly. (6) Frequency: daily vs weekly. (7) What to expect in Week 1, Month 1, Month 3. (8) Signs your hair is getting healthier.","This series educates customers on HOW to use Svaaskriti and sets correct expectations. Reduces dissatisfaction from incorrect use.","CRITICAL","P4","Day 77-90","-","-","-","Oodles + Founder"
"","MARKETING","Content","Create 'What 61 ingredients actually means' hero post","One definitive carousel post that explains: why 61 ingredients (not marketing gimmick), the three groups (fresh botanicals, dry herbs, essential oils), the traditional process, the modern science validation. This is the post that converts sceptics.","Pin this post to the Instagram profile. It is the brand's most important piece of content.","CRITICAL","P4","Day 77-90","-","-","-","Oodles + Founder"
"","MARKETING","SEO","Set up Google Search Console","Connect to website domain. Verify. Submit sitemap. Monitor: which search queries bring visitors, which pages rank, crawl errors.","Free tool. Essential for understanding how people find Svaas through Google.","HIGH","P4","Day 56-70","-","-","-","Oodles"
"","MARKETING","SEO","Research and lock 20 target keywords","Categories: Ayurvedic hair oil (high volume), natural hair oil Chennai (local), hair nourishment oil (aligned to positioning), 61 ingredient hair oil (branded), handmade hair oil India. Use Google Keyword Planner (free) or Ubersuggest.","Start SEO early. Results take 3-6 months. Plant seeds now for Year 1 harvest.","HIGH","P4","Day 56-70","-","-","-","Oodles"
"","MARKETING","SEO","Publish first SEO blog article: 'Why Ayurvedic Hair Oiling Works'","1,500 words. Target keyword: 'Ayurvedic hair oil benefits.' Structure: history of hair oiling in India, science behind oil and scalp health, 5 key ingredients and their evidence, how to build a hair oiling ritual, why Svaaskriti is different. Internal link to product page.","Blog articles compound. This article written today may bring 100 visitors/month in Year 2.","HIGH","P5","Day 120-150","-","-","-","Oodles"
"","MARKETING","SEO","Publish SEO blog: 'The 61 Ingredients in Svaaskriti — Complete Guide'","Deep-dive article linking to the ingredient library. 2,000+ words. Target keyword: 'Svaaskriti ingredients.' Every ingredient mentioned by name = long-tail keyword capture.","This article will rank for ingredient name searches. Someone searching 'Jatamasi for hair' should find Svaas.","HIGH","P6","Day 180-210","-","-","-","Oodles"
"","MARKETING","Community","Launch 8-week Hair Ritual Challenge","Challenge: use Svaaskriti 3x per week for 8 weeks. Post weekly photo with hashtag. Founder posts weekly tips and encouragement. Winner: best transformation story wins 6-month supply. First challenge: Day 120-270.","Challenge creates: accountability, community, UGC content, 8-week engagement arc, and proof of results. All in one programme.","HIGH","P5","Day 90-120","Rs.5000","Rs.8000","Rs.12000","Marketing + Founder"
"","MARKETING","Community","Build WhatsApp community for Svaas customers","Separate from broadcast list. Invite customers who have purchased twice or more. Community guidelines: share your hair journey, ask questions, no spam. Founder active in community weekly.","A community of 50 engaged customers is more valuable than 5,000 passive followers. Community = retention.","HIGH","P6","Day 180-210","-","-","-","Founder"
"","OPERATIONS","Systems","Set up Shopify inventory management properly","Enable inventory tracking per SKU. Set low stock alerts at 6-week threshold. Connect to Shiprocket for auto-fulfilment. Test: does inventory decrement correctly when order is placed?","Many small brands have Shopify but do not configure inventory correctly. Overselling happens when this is skipped.","CRITICAL","P4","Day 63-77","-","-","-","Oodles"
"","OPERATIONS","Systems","Create dispatch log in Google Sheets","Columns: date, order ID, customer name, SKU, quantity, batch number used, courier AWB number, dispatch confirmed (Y/N). Update daily. This log is your traceability record.","When a customer complaint comes in with batch number, this log tells you within 60 seconds who else received that batch.","CRITICAL","P5","Day 90 onwards","-","-","-","Operations"
"","OPERATIONS","Quality","Create colour reference standard from first approved batch","After first QC-approved batch of hair oil: retain a sealed 10ml vial. Label: 'Colour Reference Standard — Batch SVHOP-001.' Every subsequent batch compared to this. If batch colour is more than 20% darker or lighter: investigate before dispatching.","Colour drift between batches signals: ingredient substitution, temperature variation, or infusion time change. Catch it at QC not after dispatch.","HIGH","P2","Day 56-70","-","-","-","QP + Manufacturing"
"","OPERATIONS","Quality","Implement batch number stamping system","Purchase rubber stamp set with replaceable numbers. Stamp batch number on label before application. Format: SVHOP-YYYYMMDD-001. Check stamp is legible on 10 test labels before each stamping session.","The batch number on each bottle is the link between customer and your manufacturing records. It must be legible.","CRITICAL","P2","Day 49-56","Rs.500","Rs.800","Rs.1500","Operations"
